4;Kleine Elementare beschwören;Level 4 Beschwörung;1 Aktion;Selbst;V, G;Konzentration, bis zu 10 min;Du beschwörst Geister aus den Elementarebenen, die für die Dauer des Zaubers in einer15-footAusstrahlung um dich herumschwirren. Bis der Zauber endet, verursacht jeder Angriff von dir zusätzlichen2d8Schaden, wenn du eine Kreatur in der Ausstrahlung triffst. Dieser Schaden ist Säure-, Kälte-, Feuer- oder Blitzschaden (du wählst die Art beim Ausführen des Angriffs).<br><br>Außerdem gilt der Boden in der Emanation für deine Gegner als schwieriges Gelände.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden erhöht sich um1d8 pro Zauberslot-Stufe über 4.;Druide, Magier;
4;Waldwesen beschwören;Level 4 Beschwörung;1 Aktion;Selbst;V, G;Konzentration, bis zu 10 min;"Du beschwörst Naturgeister, die für die Dauer des Zaubers in einer10-footAusstrahlung um dich herumfliegen. Immer wenn die Ausstrahlung in den Raum einer Kreatur eindringt, die du sehen kannst, und immer wenn eine Kreatur, die du sehen kannst, in die Ausstrahlung eintritt oder dort ihren Zug beendet, kannst du diese Kreatur zwingen, einen WIS-Rettungswurf durchzuführen. Bei einem misslungenen Rettungswurf erleidet die 5d8Kreatur Kraftschaden, bei einem erfolgreichen Rettungswurf nur die Hälfte dieses Schadens. Eine Kreatur darf diesen Rettungswurf nur einmal pro Zug durchführen.<br><br>Außerdem kannst du während der Wirkungsdauer des Zaubers die Aktion „Lösen"" als Bonus Aktion ausführen.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden erhöht sich um1d8 pro Zauberslot-Stufe über 4.";Druide, Waldläufer;
4;Wassermanagement;Level 4 Verwandlungsmagie;1 Aktion;90 m;V, G, M;Konzentration, bis zu 10 min;(eine Mischung aus Wasser und Staub) Bis das Zauberwirken endet, kontrollierst du jegliches Wasser innerhalb eines von dir gewählten Bereichs, der die Form eines Würfels mit einer Seitenlänge von100 feetbis zu hat, und wendest dabei einen der folgenden Effekte an. Als magische Aktion in deinen späteren Zügen kannst du denselben Effekt wiederholen oder einen anderen wählen.<br><br>Überschwemmung. Du lässt den Wasserstand aller stehenden Gewässer in dem Gebiet um bis zu 20 feetansteigen. Wählst du ein Gebiet in einem großen Gewässer, erzeugst du stattdessen eine20-foot hohe Welle, die sich von einer Seite des Gebiets zur anderen ausbreitet und dann bricht. Alle riesigen oder kleineren Fahrzeuge, die sich im Weg der Welle befinden, werden mit auf die andere Seite getragen. Alle riesigen oder kleineren Fahrzeuge, die von der Welle getroffen werden, haben eine Chance von 25 Prozent, zu kentern.<br><br>Der Wasserstand bleibt erhöht, bis der Zauber endet oder du einen anderen Effekt wählst. Wenn dieser Effekt eine Welle hervorgerufen hat, wiederholt sich die Welle zu Beginn deines nächsten Zuges, solange der Fluteffekt andauert.<br><br>Wasser teilen. Du teilst das Wasser in diesem Bereich und erschaffst einen Graben. Der Graben erstreckt sich über den gesamten Wirkungsbereich des Zaubers, und das getrennte Wasser bildet zu beiden Seiten eine Wand. Der Graben bleibt bestehen, bis der Zauber endet oder du einen anderen Effekt wählst. Das Wasser füllt den Graben dann im Laufe der nächsten Runde langsam wieder auf, bis der normale Wasserstand wiederhergestellt ist.<br><br>Wasser umleiten. Du bewirkst, dass fließendes Wasser in dem Bereich in eine von dir gewählte Richtung fließt, selbst wenn das Wasser dabei Hindernisse überwinden, Wände hinaufströmen oder in andere ungewöhnliche Richtungen fließen muss. Das Wasser in dem Bereich bewegt sich so, wie du es anweist, doch sobald es den Wirkungsbereich des Zaubers verlässt, fließt es entsprechend der Geländebeschaffenheit weiter. Das Wasser fließt so lange in die von dir gewählte Richtung, bis der Zauber endet oder du einen anderen Effekt wählst.<br><br>Strudel. Du lässt in der Mitte des Bereichs einen Strudel entstehen, der mindestens50 feet Quadratmeter groß und25 feet tief sein muss. Der Strudel hält so lange an, bis du einen anderen Effekt wählst oder der Zauber endet. Der Strudel ist an der 5 feetBasis Breit, oben bis zu50 feet Breit und25 feet hoch. Jede Kreatur, die sich im Wasser und innerhalb25 feetvon vom Strudel befindet, wird in dessen Richtung 10 feetgezogen. Wenn eine Kreatur in einem Zug zum ersten Mal in den Strudel eintritt oder ihren Zug dort beendet, führt sie einen STR-Rettungswurf durch. Bei einem misslungenen Rettungswurf erleidet die 2d8Kreatur Schlagschaden. Bei einem erfolgreichen Rettungswurf erleidet die Kreatur nur die Hälfte des Schadens. Eine Kreatur kann nur dann aus dem Strudel herausschwimmen, wenn sie zuvor eine Aktion zum Wegziehen ausführt und einen Stärke-Probe (Leichtathletik) gegen deine Zauberrettungs-SG besteht.;Kleriker, Druide, Magier;
4;Todesstation;Level 4 Bannmagie;1 Aktion;Berührung;V, G;8 h;Du berührst eine Kreatur und gewährst ihr einen gewissen Schutz vor dem Tod. Wenn die Lebenspunkte des Ziels zum ersten Mal vor Ablauf des Zaubers auf 0 sinken würden, sinken sie stattdessen auf 1, und der Zauber endet.<br><br>Wenn der Zauber noch wirkt, wenn das Ziel einem Effekt ausgesetzt wird, der es Unmittelbar töten würde, ohne Schaden zu verursachen, wird dieser Effekt gegenüber dem Ziel aufgehoben, und der Zauber endet.;Kleriker, Paladin;
4;Dimension Door;Level 4 Beschwörung;1 Aktion;150 m;V;Unmittelbar;"Du teleportierst dich an einen Ort innerhalb der Reichweite. Du landest genau an der gewünschten Stelle. Das kann ein Ort sein, den du sehen kannst, den du dir vorstellen kannst oder den du durch Angabe von Entfernung und Richtung beschreiben kannst, zum Beispiel „gerade nach unten""60 m oder 90 m„nach oben in Richtung Nordwesten in einem Winkel von 45 Grad"".<br><br>Du kannst außerdem eine bereitwillige Kreatur teleportieren. Die Kreatur muss sich beim Teleportieren in5 feetdeiner Nähe befinden und wird an einen Platz innerhalb5 feetvon von deinem Zielplatz teleportiert.<br><br>Wenn du, das andere Wesen oder ihr beide in einem Feld ankommen würdet, das von einem Wesen besetzt oder vollständig mit einem oder mehreren Gegenständen gefüllt ist, erleidet ihr jeweils4d6 Kraftschaden, und die Teleportation schlägt fehl.";Barde, Zauberer, Hexenmeister, Magier;
4;Wahrsagerei;Level 4 Erkenntnismagie;1 Aktion or Ritual;Selbst;V, G, M;Unmittelbar;(Weihrauch im Wert von mindestens 25 GP, den der Zauber verbraucht) Dieser Zauber bringt dich in Kontakt mit einem Gott oder dessen Dienern. Du stellst eine Frage zu einem bestimmten Ziel, Ereignis oder einer bestimmten Handlung, die innerhalb von 7 Tagen eintreten soll. Der Spielleiter gibt dir eine wahrheitsgemäße Antwort, die aus einem kurzen Satz oder einem rätselhaften Reim bestehen kann. Der Zauber berücksichtigt keine Umstände, die die Antwort beeinflussen könnten, wie beispielsweise das Wirken anderer Zauber.<br><br>Wenn du den Zauber vor dem Ende einer langen Ruhepause mehr als einmal wirkst, besteht bei jedem weiteren Zauber nach dem ersten eine kumulative Wahrscheinlichkeit von 25 Prozent, dass du keine Antwort erhältst.;Kleriker, Druide, Magier;
4;Beherrsche das Biest;Level 4 Verzauberung;1 Aktion;18 m;V, G;Konzentration, bis zu 1 min;"Ein Tier, das sich in Reichweite befindet, muss einen WIS-Rettungswurf bestehen oder erhält für die Dauer des Zaubers den Status „Verzaubert"". Das Ziel erhält einen Vorteil bei diesem Rettungswurf, wenn du oder deine Verbündeten gegen es kämpfen. Immer wenn das Ziel Schaden erleidet, wiederholt es den Rettungswurf; bei Erfolg endet der Zauber für das Ziel.<br><br>Solange ihr euch auf derselben Existenzebene befindet, besteht zwischen dir und dem verzauberten Ziel eine telepathische Verbindung. In deinem Zug kannst du diese Verbindung nutzen, um dem Ziel Befehle zu erteilen (keine Aktion erforderlich), wie zum Beispiel „Greife diese Kreatur an"", „Beweg dich dorthin"" oder „Hol diesen Gegenstand"". Das Ziel tut sein Bestes, um in seinem Zug zu gehorchen. Wenn es einen Befehl ausgeführt hat und keine weiteren Anweisungen von dir erhält, handelt und bewegt es sich nach eigenem Ermessen und konzentriert sich darauf, sich selbst zu schützen.<br><br>Du kannst dem Ziel befehlen, eine Reaktion auszuführen, musst dafür aber selbst eine Reaktion ausführen.<br><br><b>Auf höheren Level gewirkt:</b>Deine Konzentration kann mit einem Zauberslot der Stufe 5 (bis zu 10 Minuten), 6 (bis zu 1 Stunde) oder 7+ (bis zu 8 Stunden) länger anhalten.";Druide, Waldläufer, Zauberer;
4;Evards schwarze Tentakel;Level 4 Beschwörung;1 Aktion;27 m;V, G, M;Konzentration, bis zu 1 min;"(ein Tentakel) Sich windende, pechschwarze Tentakel bedecken ein20-footQuadrat auf dem Boden, das du innerhalb der Reichweite sehen kannst. Für die Dauer des Zaubers verwandeln diese Tentakel den Boden in diesem Bereich in schwieriges Gelände.<br><br>Jede Kreatur in diesem Bereich führt einen STR-Rettungswurf durch. Bei einem misslungenen Rettungswurf erleidet 3d6sie Schlagschaden und befindet sich bis zum Ende des Zaubers im Zustand „Gefesselt"". Eine Kreatur führt diesen Rettungswurf auch durch, wenn sie den Bereich betritt oder ihren Zug dort beendet. Eine Kreatur führt diesen Rettungswurf nur einmal pro Zug durch.<br><br>Ein gefesseltes Wesen kann eine Aktion ausführen, um einen Stärke-Probe (Sport) gegen deine Zauber-Rettungswurf-SG durchzuführen; bei Erfolg hebt es diesen Zustand bei sich selbst auf.";Magier;
4;Hergestellt;Level 4 Verwandlungsmagie;10 min;36 m;V, G;Unmittelbar;Man verarbeitet Rohstoffe zu Produkten aus demselben Material. So kann man beispielsweise aus einem Baumstamm eine Holzbrücke bauen, aus einem Hanffeld ein Seil herstellen oder aus Flachs oder Wolle Kleidung nähen.<br><br>Wähle Rohstoffe aus, die du in deiner Reichweite sehen kannst. Bei ausreichender Materialmenge kannst du ein großes oder kleineres Objekt herstellen (das in einen10-footWürfel oder acht miteinander verbundene5-footWürfel passt). Wenn du jedoch mit Metall, Stein oder einem anderen mineralischen Werkstoff arbeitest, darf das hergestellte Objekt nicht größer als mittelgroß sein (es muss in einen5-footWürfel passen). Die Qualität der hergestellten Objekte richtet sich nach der Qualität der Rohstoffe.<br><br>Mit diesem Zauber können keine Kreaturen und magischen Gegenstände erschaffen werden. Du kannst ihn auch nicht dazu verwenden, Gegenstände herzustellen, die ein hohes Maß an Geschicklichkeit erfordern - wie beispielsweise Waffen und Rüstungen -, es sei denn, du beherrschst die Art von Handwerkswerkzeugen, die zur Herstellung solcher Gegenstände verwendet werden.;Artificer, Magier;
4;Feuerschild;Level 4 Hervorrufung;1 Aktion;Selbst;V, G, M;10 min;(ein bisschen Phosphor oder ein Glühwürmchen) Zarte Flammen umhüllen deinen Körper für die Dauer des Zaubers, strahlen in einem10-footRadius helles Licht aus und in einem weiteren Radius 10 feetschwaches Licht.<br><br>Die Flammen bieten dir je nach Wahl einen Wärmeschild oder einen Kälteschild. Der Wärmeschild gewährt dir Widerstand gegen Kälteschaden, und der Kälteschild gewährt dir Widerstand gegen Feuerschaden.<br><br>Außerdem bricht jedes Mal, wenn dich eine Kreatur in5 feetdeiner Nähe mit einem Nahkampfangriff trifft, ein Flammenausbruch aus dem Schild hervor. Der Angreifer erleidet2d8Feuerschaden durch einen warmen Schild oder2d8Kälteschaden durch einen kalten Schild.;Druide, Zauberer, Magier;
4;Quelle des Mondlichts;Level 4 Hervorrufung;1 Aktion;Selbst;V, G;Konzentration, bis zu 10 min;"Ein kühles Licht umhüllt deinen Körper für die Dauer des Zaubers, strahlt in einem20-footRadius helles Licht aus und in einem weiteren Radius 20 feetgedämpftes Licht.<br><br>Solange der Zauber wirkt, bist du gegen Strahlungsschaden resistent, und deine Nahkampfangriffe verursachen bei einem Treffer zusätzlichen2d6Strahlungsschaden.<br><br>Außerdem kannst du unmittelbar nachdem du Schaden von einer Kreatur erlitten hast, die sich in60 feetSichtweite von dir befindet, eine Reaktion ausführen, um die Kreatur zu zwingen, einen Konstitutionsrettungswurf durchzuführen. Bei einem misslungenen Rettungswurf leidet die Kreatur bis zum Ende deines nächsten Zuges unter dem Zustand „Geblendet"".";Barde, Druide;
4;Freizügigkeit;Level 4 Bannmagie;1 Aktion;Berührung;V, G, M;1 h;"(ein Lederriemen) Du berührst ein williges Wesen. Für die Dauer des Zaubers wird die Bewegung des Ziels nicht durch schwieriges Gelände beeinträchtigt, und Zauber sowie andere magische Effekte können weder die Bewegungsgeschwindigkeit des Ziels verringern noch dazu führen, dass das Ziel die Zustände „gelähmt"" oder „gefesselt"" erhält. Das Ziel verfügt zudem über eine Schwimmgeschwindigkeit, die seiner Bewegungsgeschwindigkeit entspricht.<br><br>Außerdem kann das Ziel Bewegungspunkte5 feet aufwenden, um sich automatisch aus nichtmagischen Fesseln zu befreien, wie beispielsweise Handschellen oder einer Kreatur, die ihm den Zustand „Festgehalten"" auferlegt hat.<br><br><b>Auf höheren Level gewirkt:</b>Du kannst für jede Stufe des Zauberslots über 4 eine weitere Kreatur als Ziel wählen.";Artificer, Barde, Kleriker, Druide, Waldläufer;
4;Rieseninsekt;Level 4 Beschwörung;1 Aktion;18 m;V, G;Konzentration, bis zu 10 min;"Du beschwörst eine riesige Tausendfüßlerin, Spinne oder Wespe (die Wahl triffst du beim Wirken des Zaubers). Sie erscheint an einem freien Ort, den du innerhalb der Reichweite sehen kannst, und folgt den Werten des „Rieseninsekts"". Die von dir gewählte Gestalt bestimmt bestimmte Details in ihrem Werteblock. Die Kreatur verschwindet, sobald ihre TP auf 0 sinken oder der Zauber endet.<br><br>Die Kreatur ist ein Verbündeter von dir und deinen Verbündeten. Im Kampf teilt sich die Kreatur deine Initiative, ist jedoch unmittelbar nach dir an der Reihe. Sie befolgt deine verbalen Befehle (ohne dass du dafür eine Aktion aufwenden musst). Wenn du keine Befehle erteilst, führt sie die Aktion „Ausweichen"" aus und nutzt ihre Bewegung, um Gefahren auszuweichen.<br><br><b>Auf höheren Level gewirkt:</b>Verwende die Stufe des Zauberslots als Stufe des Zaubers im Charakterblatt.<br><br>Rieseninsekt Großes Tier, ungebunden Rüstungsklasse: 11 + Zauberstufe TP: 30 + 10 pro Zauberstufe über 4 Geschwindigkeit: 12 m., Klettern 12 m., Fliegen 12 m. (nur Wespe) STÄ (Mod / Rett) GES (Mod / Rett) KON (Mod / Rett.) INT (Mod / Rett.) WEI (Mod / Rett.) CHA (Mod / Rett.) 17 (+3 / +3) 13 (+1 / +1) 15 (+2 / +2) 4 (-3 / -3) 14 (+2 / +2) 3 (-4 / -4) Sinne: Dunkelheitssicht 18 m., Passive Wahrnehmung 12 Sprachen: Versteht die Sprachen, die du kennst Herausforderungsgrad: Keiner (XP 0; PB entspricht deinem Fertigkeitsbonus) Eigenschaften Spinnenklettern. Das Insekt kann schwierige Oberflächen erklimmen, einschließlich Decken, ohne einen Fähigkeitswurf durchführen zu müssen. Aktionen Mehrfachangriff. Das Insekt führt eine Anzahl von Angriffen durch, die der Hälfte der Stufe dieses Zaubers entspricht (abgerundet). Giftstich. Nahkampfangriffswurf: Der Bonus entspricht deinem Zauberangriffsmodifikator, Reichweite 3 m. Treffer:1W6 + 3 plus der Zauberstufe Durchdringungsschaden plus1d4 Giftschaden. Netzblitz (nur Spinnen). Fernkampfangriffswurf: Der Bonus entspricht deinem Zauberangriffsmodifikator, Reichweite 18 m. Treffer:1W10 + 3 plus der Zauberstufe Bludgeoning-Schaden, und die Geschwindigkeit des Ziels wird bis zum Beginn des nächsten Zuges des Insekts auf 0 reduziert. Bonusaktionen Giftiger Spritz (nur Tausendfüßler). Konstitutionsrettungswurf: Dein Zauberrettungs-DC, eine Kreatur, die das Insekt innerhalb von sehen10 feet kann. Fehlschlag: Das Ziel hat den Zustand „Vergiftet"" bis zum Beginn des nächsten Zuges des Insekts.";Druide;
4;Kletterpflanze;Level 4 Beschwörung;1 Bonus Aktion;18 m;V, G;Konzentration, bis zu 1 min;"Du beschwörst eine Ranke, die an einer Oberfläche in einem unbesetzten Bereich, den du innerhalb der Reichweite sehen kannst, aus dem Boden sprießt. Die Ranke bleibt für die gesamte Dauer bestehen.<br><br>Führe einen Nahkampf-Zauberangriff gegen eine Kreatur in30 feet Reichweite der Ranke aus. Bei einem Treffer erleidet das Ziel4d8 Schlagschaden und wird bis zu30 feet in Richtung der Ranke gezogen; wenn das Ziel riesig oder kleiner ist, erhält es den Zustand „Festgehalten"" (Flucht-SG entspricht deiner Zauber-SG). Die Ranke kann jeweils nur eine Kreatur festhalten, und du kannst die Ranke dazu bringen, eine festgehaltene Kreatur loszulassen (keine Aktion erforderlich).<br><br>Als Bonus Aktion in deinen späteren Runden kannst du den Angriff gegen eine Kreatur innerhalb30 feetvon der Ranke wiederholen.<br><br><b>Auf höheren Level gewirkt:</b>Die Anzahl der Wesen, die die Ranke festhalten kann, erhöht sich um eins pro Zauberslot-Stufe über Stufe 4.";Druide, Waldläufer;
4;Noch mehr Unsichtbarkeit;Level 4 Illusionsmagie;1 Aktion;Berührung;V, G;Konzentration, bis zu 1 min;"Eine Kreatur, die du berührst, erhält den Status „Unsichtbar"", bis der Zauber endet.";Barde, Zauberer, Magier;
4;Hüter des Glaubens;Level 4 Beschwörung;1 Aktion;9 m;V;8 h;"Ein großer spektraler Wächter erscheint und schwebt für die Dauer des Zaubers an einer freien Stelle, die du innerhalb der Reichweite sehen kannst. Der Wächter nimmt diesen Platz ein und ist unverwundbar; er erscheint in einer Gestalt, die zu deiner Gottheit oder deinem Pantheon passt.<br><br>Jeder Gegner, der sich in diesem Zug zum ersten Mal auf ein Feld innerhalb10 feetvon vom Wächter bewegt oder seinen Zug dort beginnt, muss einen Geschicklichkeitsrettungswurf durchführen; bei einem misslungenen Rettungswurf erleidet er 20 Strahlungsschaden, bei einem erfolgreichen Rettungswurf die Hälfte dieses Schadens. Der Wächter verschwindet, sobald er insgesamt 60 Schaden verursacht hat.";Kleriker;
4;Halluzinatorisches Terrain;Level 4 Illusionsmagie;10 min;90 m;V, G, M;24 h;"(ein Pilz) Du lässt natürliches Gelände in einem150-footWürfel in Reichweite so aussehen, klingen und riechen wie eine andere Art von natürlichem Gelände. So können offene Felder oder eine Straße so gestaltet werden, dass sie einem Sumpf, einem Hügel, einer Gletscherspalte oder einem anderen schwierigen oder unpassierbaren Gelände ähneln. Ein Teich kann wie eine grasbewachsene Wiese wirken, ein Abgrund wie ein sanfter Hang oder eine mit Felsen übersäte Schlucht wie eine breite und ebene Straße. Künstliche Bauwerke, Ausrüstung und Lebewesen innerhalb des Bereichs werden nicht verändert.<br><br>Da sich die taktilen Eigenschaften des Geländes nicht verändert haben, werden Kreaturen, die das Gebiet betreten, die Illusion wahrscheinlich bemerken. Ist der Unterschied beim Berühren nicht offensichtlich, kann eine Kreatur, die die Illusion untersucht, die Aktion „Untersuchen"" ausführen, um einen Intelligenz-Wurf (Untersuchung) gegen deinen Zauber-Rettungs-DC durchzuführen und die Illusion zu durchschauen. Erkennt eine Kreatur, dass das Gelände illusorisch ist, sieht sie ein vages Bild, das sich über das echte Gelände legt.";Barde, Druide, Hexenmeister, Magier;
4;Eissturm;Level 4 Hervorrufung;1 Aktion;90 m;V, G, M;Unmittelbar;(ein Handschuh) Hagel fällt in einem Zylinder20-foot mit einem Radius von und 40-footeiner Höhe von, dessen Mittelpunkt ein Punkt innerhalb der Reichweite ist. Jede Kreatur im Zylinder führt einen DEX-Rettungswurf durch. Bei einem misslungenen Rettungswurf erleidet die 2d10Kreatur Schlagschaden und4d6 Kälteschaden, bei einem erfolgreichen Rettungswurf nur die Hälfte dieses Schadens.<br><br>Hagelkörner verwandeln den Boden im Zylinder bis zum Ende deines nächsten Zuges in schwieriges Gelände.<br><br><b>Auf höheren Level gewirkt:</b>Der Schlagschaden erhöht sich um1d10 pro Zauberslot-Stufe über 4.;Druide, Zauberer, Magier;
4;Leomunds geheime Truhe;Level 4 Beschwörung;1 Aktion;Berührung;V, G, M;Bis Zauber gebannt wird;(eine Truhe,0,9 m mit2 feetden Maßen × 0,6 m×, aus seltenen Materialien im Wert von über 5.000 GP, sowie eine winzige Nachbildung der Truhe aus denselben Materialien im Wert von über 50 GP) Du versteckst eine Truhe samt ihrem gesamten Inhalt auf der Ätherischen Ebene. Du musst die Truhe und die Miniaturnachbildung berühren, die als materielle Komponenten für den Zauber dienen. Die Truhe kann bis zu 12 Kubikfuß nichtlebendes Material (3 feetmit2 feetden Maßen × × 0,6 m) enthalten.<br><br>Solange sich die Truhe auf der Ätherischen Ebene befindet, kannst du eine magische Aktion ausführen und die Nachbildung berühren, um die Truhe zurückzuholen. Sie erscheint an einem freien Platz auf dem Boden in5 feetdeiner Nähe. Du kannst die Truhe zurück auf die Ätherische Ebene schicken, indem du eine magische Aktion ausführst und dabei die Truhe und die Nachbildung berührst.<br><br>Nach 60 Tagen besteht am Ende jedes Tages eine kumulative Wahrscheinlichkeit von 5 Prozent, dass der Zauber endet. Der Zauber endet außerdem, wenn du ihn erneut wirkst oder wenn die winzige Nachbildung der Truhe zerstört wird. Wenn der Zauber endet und sich die größere Truhe auf der Ätherischen Ebene befindet, bleibt sie dort, sodass du oder jemand anderes sie finden kann.;Artificer, Magier;
4;Kreatur suchen;Level 4 Erkenntnismagie;1 Aktion;Selbst;V, G, M;Konzentration, bis zu 1 h;"(Fell eines Bluthundes) Beschreibe oder nenne ein Lebewesen, das dir vertraut ist. Du spürst die Richtung zum Aufenthaltsort des Lebewesens, wenn es sich in einem000 feet Umkreis von 1 von dir befindet. Wenn sich das Lebewesen bewegt, kennst du die Richtung seiner Bewegung.<br><br>Der Zauber kann eine bestimmte Kreatur, die dir bekannt ist, oder die nächstgelegene Kreatur einer bestimmten Art (wie beispielsweise einen Menschen oder ein Einhorn) aufspüren, sofern du eine solche Kreatur mindestens einmal aus 30 feetnächster Nähe gesehen hast. Befindet sich die von dir beschriebene oder benannte Kreatur in einer anderen Gestalt, beispielsweise unter dem Einfluss eines Zaubers wie „Fleisch zu Stein"" oder „Verwandlung"", kann dieser Zauber die Kreatur nicht aufspüren.<br><br>Dieser Zauber kann eine Kreatur nicht orten, wenn auch nur eine bleidicke Schicht den direkten Weg zwischen dir und der Kreatur versperrt.";Barde, Kleriker, Druide, Paladin, Waldläufer, Magier;
4;Mordenkainens treuer Hund;Level 4 Beschwörung;1 Aktion;9 m;V, G, M;8 h;"(eine silberne Pfeife) Du beschwörst einen Phantom-Wachhund an einem unbesetzten Ort, den du in Reichweite sehen kannst. Der Hund bleibt für die Dauer des Zaubers oder so lange, bis ihr beide mehr als voneinander300 feet entfernt seid.<br><br>Niemand außer dir kann den Hund sehen, und er ist immateriell und unverwundbar. Wenn sich eine kleine oder größere Kreatur ihm nähert30 feet, ohne zuvor das Passwort zu sagen, das du beim Wirken dieses Zaubers festlegst, beginnt der Hund laut zu bellen. Der Hund verfügt über „Wahrsicht"" mit einer Reichweite von 9 m.<br><br>Zu Beginn jedes deiner Züge versucht der Hund, einen Gegner in5 feetseiner Nähe zu beißen. Dieser Gegner muss einen DEX-Rettungswurf bestehen oder erleidet4d8Kraftschaden.<br><br>In deinen späteren Zügen kannst du eine Magie-Aktion ausführen, um den Hund bis zu 9 m... zu bewegen.";Magier;
4;Mordenkainen's Private Sanctum;Level 4 Bannmagie;10 min;36 m;V, G, M;24 h;(eine dünne Bleifolie) Du machst einen Bereich innerhalb der Reichweite magisch sicher. Der Bereich ist ein Würfel, dessen Seitenlänge zwischen5 feet100 feet und liegen kann. Der Zauber hält für die angegebene Dauer an.<br><br>Wenn du den Zauber wirkst, entscheidest du, welche Art von Schutz der Zauber bietet, indem du eine der folgenden Eigenschaften auswählst:<br><br>Schall kann die Barriere am Rand des geschützten Bereichs nicht durchdringen. Die Barriere des geschützten Bereichs erscheint dunkel und neblig, sodass man nicht hindurchsehen kann (auch nicht mit Dunkelheitssicht). Durch Wahrsagungszauber erzeugte Sensoren können nicht innerhalb des geschützten Bereichs erscheinen oder die Barriere an dessen Rand durchdringen. Kreaturen in diesem Bereich können nicht Ziel von Wahrsagungszaubern werden. Nichts kann sich in den oder aus dem geschützten Bereich teleportieren. Planare Reisen sind innerhalb des geschützten Bereichs blockiert.<br><br>Wenn man diesen Zauber 365 Tage lang jeden Tag an derselben Stelle wirkt, hält er so lange an, bis er aufgehoben wird.<br><br><b>Auf höheren Level gewirkt:</b>Du kannst die Größe des Würfels für100 feet jede Zauberslot-Stufe über 4 erhöhen.;Artificer, Magier;
4;Otilukes widerstandsfähige Kugel;Level 4 Bannmagie;1 Aktion;9 m;V, G, M;Konzentration, bis zu 1 min;"(eine Glaskugel) Eine schimmernde Kugel umschließt eine große oder kleinere Kreatur oder einen Gegenstand innerhalb der Reichweite. Eine Kreatur, die sich dem widersetzt, muss einen DEX-Rettungswurf bestehen, sonst bleibt sie für die Dauer des Zaubers eingeschlossen.<br><br>Nichts - weder physische Objekte noch Energie oder andere Zauberwirkungen - kann die Barriere durchdringen, weder hinein noch hinaus, obwohl eine Kreatur innerhalb der Sphäre dort atmen kann. Die Sphäre ist immun gegen jeglichen Schaden, und eine Kreatur oder ein Objekt im Inneren kann weder durch Angriffe oder Wirkungen von außen Schaden nehmen, noch kann eine Kreatur innerhalb der Sphäre etwas außerhalb der Sphäre beschädigen.<br><br>Die Kugel ist schwerelos und gerade groß genug, um das Wesen oder den Gegenstand darin aufzunehmen. Ein darin eingeschlossenes Wesen kann eine Aktion ausführen, um gegen die Wände der Kugel zu drücken und sie so mit bis zur Hälfte seiner Bewegungsgeschwindigkeit zu rollen. Ebenso kann die Kugel von anderen Wesen aufgenommen und bewegt werden.<br><br>Ein „Zerstörungszauber"", der auf den Globus gerichtet ist, zerstört ihn, ohne etwas in seinem Inneren zu beschädigen.";Artificer, Magier;
4;Der geisterhafte Mörder;Level 4 Illusionsmagie;1 Aktion;36 m;V, G;Konzentration, bis zu 1 min;Du greifst auf die Albträume einer Kreatur zurück, die sich in Reichweite befindet, und erschaffst eine Illusion ihrer tiefsten Ängste, die nur für diese Kreatur sichtbar ist. Das Ziel muss einen WIS-Rettungswurf durchführen. Bei einem misslungenen Rettungswurf erleidet das Ziel4d10 psychischen Schaden und erhält für die Dauer des Zaubers Nachteil bei Fähigkeitsproben und Angriffswürfen. Bei einem erfolgreichen Rettungswurf erleidet das Ziel nur die Hälfte des Schadens, und der Zauber endet.<br><br>Während der Wirkungsdauer muss das Ziel am Ende jedes seiner Züge einen WIS-Rettungswurf durchführen. Bei einem misslungenen Rettungswurf erleidet es erneut den psychischen Schaden. Bei einem erfolgreichen Rettungswurf endet der Zauber.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden erhöht sich um1d10 pro Zauberslot-Stufe über 4.;Barde, Magier;
